,state,action,reward,new_state,terminal
37,"(0.16887487471103668, 0.03505374491214752, -0.00570354238152504, -0.0021015837788581847, -0.0006854582577943803, 1.9441032782197e-05, 0.8681075572967529, -0.05084311217069626)","[1, 0]",-1.323707779476766,"(0.16720104217529297, 0.028583427891135216, -0.005746203940361738, -0.00016738325357437136, -0.0006470317021012306, -4.266155883669853e-06, 0.9681075811386108, -0.05084311217069626)",False
38,"(0.16720104217529297, 0.028583427891135216, -0.005746203940361738, -0.00016738325357437136, -0.0006470317021012306, -4.266155883669853e-06, 0.9681075811386108, -0.05084311217069626)","[0, -1]",-1.3946369610566223,"(0.17740419507026672, 0.025584084913134575, -0.005925118923187256, 0.0010203152894973754, -0.0002999342978000641, -1.7891498282551767e-05, 0.9681075811386108, -0.057824429124593735)",False
39,"(0.17740419507026672, 0.025584084913134575, -0.005925118923187256, 0.0010203152894973754, -0.0002999342978000641, -1.7891498282551767e-05, 0.9681075811386108, -0.057824429124593735)","[0, 1]",-1.4719509062492444,"(0.19443154335021973, 0.025127461180090904, -0.006167102139443159, 0.0017027348279953004, -4.566237330436707e-05, -2.4198321625590324e-05, 0.9681075811386108, -0.05084311217069626)",False
40,"(0.19443154335021973, 0.025127461180090904, -0.006167102139443159, 0.0017027348279953004, -4.566237330436707e-05, -2.4198321625590324e-05, 0.9681075811386108, -0.05084311217069626)","[0, 0]",-1.4129048827437352,"(0.22083935141563416, 0.026006799191236496, -0.006503297481685877, 0.002640780806541443, 8.793380111455918e-05, -3.361953422427178e-05, 0.9681075811386108, -0.05084311217069626)",False
41,"(0.22083935141563416, 0.026006799191236496, -0.006503297481685877, 0.002640780806541443, 8.793380111455918e-05, -3.361953422427178e-05, 0.9681075811386108, -0.05084311217069626)","[1, -1]",-1.433469488495958,"(0.2622860372066498, 0.030849279835820198, -0.0070122163742780685, 0.0041446685791015625, 0.00048424806445837023, -5.089188925921917e-05, 1.0681076049804688, -0.057824429124593735)",False
42,"(0.2622860372066498, 0.030849279835820198, -0.0070122163742780685, 0.0041446685791015625, 0.00048424806445837023, -5.089188925921917e-05, 1.0681076049804688, -0.057824429124593735)","[-1, -1]",-1.6155479618309483,"(0.31024497747421265, 0.0448467992246151, -0.007504850625991821, 0.004795894026756287, 0.00139975193887949, -4.926342517137528e-05, 0.9681075811386108, -0.06480574607849121)",False
43,"(0.31024497747421265, 0.0448467992246151, -0.007504850625991821, 0.004795894026756287, 0.00139975193887949, -4.926342517137528e-05, 0.9681075811386108, -0.06480574607849121)","[-1, 0]",-1.6557748145118794,"(0.37383076548576355, 0.07609060406684875, -0.00833677127957344, 0.00635857880115509, 0.003124380484223366, -8.319206535816193e-05, 0.8681075572967529, -0.06480574607849121)",False
44,"(0.37383076548576355, 0.07609060406684875, -0.00833677127957344, 0.00635857880115509, 0.003124380484223366, -8.319206535816193e-05, 0.8681075572967529, -0.06480574607849121)","[-1, -1]",-1.650923368660518,"(0.41352909803390503, 0.12017583847045898, -0.00872927624732256, 0.003969833254814148, 0.004408523440361023, -3.925049677491188e-05, 0.768107533454895, -0.07178706675767899)",False
45,"(0.41352909803390503, 0.12017583847045898, -0.00872927624732256, 0.003969833254814148, 0.004408523440361023, -3.925049677491188e-05, 0.768107533454895, -0.07178706675767899)","[-1, 1]",-1.723269318402144,"(0.4264717400074005, 0.17123521864414215, -0.008706031367182732, 0.0012942641973495484, 0.005105938017368317, 2.324488013982773e-06, 0.6681075096130371, -0.06480574607849121)",False
46,"(0.4264717400074005, 0.17123521864414215, -0.008706031367182732, 0.0012942641973495484, 0.005105938017368317, 2.324488013982773e-06, 0.6681075096130371, -0.06480574607849121)","[1, -1]",-1.6237226159486637,"(0.4153346121311188, 0.22231586277484894, -0.0082924859598279, -0.0011137127876281738, 0.005108064413070679, 4.1354540735483175e-05, 0.768107533454895, -0.07178706675767899)",False
47,"(0.4153346121311188, 0.22231586277484894, -0.0082924859598279, -0.0011137127876281738, 0.005108064413070679, 4.1354540735483175e-05, 0.768107533454895, -0.07178706675767899)","[1, -1]",-1.8053716937596604,"(0.3885006010532379, 0.27149197459220886, -0.007600692100822926, -0.002683401107788086, 0.004917611181735993, 6.917938590049744e-05, 0.8681075572967529, -0.07876838743686676)",False
48,"(0.3885006010532379, 0.27149197459220886, -0.007600692100822926, -0.002683401107788086, 0.004917611181735993, 6.917938590049744e-05, 0.8681075572967529, -0.07876838743686676)","[0, 0]",-1.9760582261551014,"(0.3481683135032654, 0.32101568579673767, -0.006664118263870478, -0.004033228754997254, 0.004952371120452881, 9.36573836952448e-05, 0.8681075572967529, -0.07876838743686676)",False
49,"(0.3481683135032654, 0.32101568579673767, -0.006664118263870478, -0.004033228754997254, 0.004952371120452881, 9.36573836952448e-05, 0.8681075572967529, -0.07876838743686676)","[1, -1]",-1.9901263775530855,"(0.2868580222129822, 0.3716669976711273, -0.005382325034588575, -0.006131029129028321, 0.005065131187438965, 0.00012817932292819023, 0.9681075811386108, -0.08574970811605453)",False
50,"(0.2868580222129822, 0.3716669976711273, -0.005382325034588575, -0.006131029129028321, 0.005065131187438965, 0.00012817932292819023, 0.9681075811386108, -0.08574970811605453)","[1, -1]",-2.141739195317231,"(0.19618365168571472, 0.418803334236145, -0.0036374409683048725, -0.009067437052726746, 0.0047136336565017705, 0.00017448840662837029, 1.0681076049804688, -0.09273102879524231)",False
51,"(0.19618365168571472, 0.418803334236145, -0.0036374409683048725, -0.009067437052726746, 0.0047136336565017705, 0.00017448840662837029, 1.0681076049804688, -0.09273102879524231)","[0, 0]",-2.273704535466288,"(0.0777965784072876, 0.45473513007164, -0.001448788563720882, -0.011838707327842713, 0.0035931795835494997, 0.00021886524045839907, 1.0681076049804688, -0.09273102879524231)",False
52,"(0.0777965784072876, 0.45473513007164, -0.001448788563720882, -0.011838707327842713, 0.0035931795835494997, 0.00021886524045839907, 1.0681076049804688, -0.09273102879524231)","[1, -1]",-2.2317386332243667,"(-0.05623398348689079, 0.47478318214416504, 0.0010139227379113436, -0.013403056189417839, 0.0020048052072525026, 0.00024627113016322254, 1.1681076288223267, -0.09971234947443008)",False
53,"(-0.05623398348689079, 0.47478318214416504, 0.0010139227379113436, -0.013403056189417839, 0.0020048052072525026, 0.00024627113016322254, 1.1681076288223267, -0.09971234947443008)","[-1, 0]",-2.3173816594809606,"(-0.19412191212177277, 0.48002076148986816, 0.003575107781216502, -0.013788792863488199, 0.0005237579345703125, 0.0002561185043305159, 1.0681076049804688, -0.09971234947443008)",False
54,"(-0.19412191212177277, 0.48002076148986816, 0.003575107781216502, -0.013788792863488199, 0.0005237579345703125, 0.0002561185043305159, 1.0681076049804688, -0.09971234947443008)","[0, 0]",-2.191544538536725,"(-0.33351701498031616, 0.47354692220687866, 0.0061849323101341724, -0.01393951028585434, -0.0006473839282989503, 0.00026098245289176705, 1.0681076049804688, -0.09971234947443008)",False
55,"(-0.33351701498031616, 0.47354692220687866, 0.0061849323101341724, -0.01393951028585434, -0.0006473839282989503, 0.00026098245289176705, 1.0681076049804688, -0.09971234947443008)","[0, 0]",-2.1086636173770374,"(-0.47813987731933594, 0.45488590002059937, 0.0088803730905056, -0.014462286233901979, -0.0018661022186279297, 0.00026954407803714275, 1.0681076049804688, -0.09971234947443008)",False
56,"(-0.47813987731933594, 0.45488590002059937, 0.0088803730905056, -0.014462286233901979, -0.0018661022186279297, 0.00026954407803714275, 1.0681076049804688, -0.09971234947443008)","[-1, 1]",-2.0144956475191806,"(-0.6260275840759277, 0.4195334017276764, 0.011623682454228401, -0.014788770675659181, -0.0035352498292922975, 0.00027433093637228015, 0.9681075811386108, -0.09273102879524231)",False
57,"(-0.6260275840759277, 0.4195334017276764, 0.011623682454228401, -0.014788770675659181, -0.0035352498292922975, 0.00027433093637228015, 0.9681075811386108, -0.09273102879524231)","[0, -1]",-1.7667584053137182,"(-0.7642082571983337, 0.3645373284816742, 0.014222058467566967, -0.013818067312240601, -0.00549960732460022, 0.0002598376013338566, 0.9681075811386108, -0.09971234947443008)",False
58,"(-0.7642082571983337, 0.3645373284816742, 0.014222058467566967, -0.013818067312240601, -0.00549960732460022, 0.0002598376013338566, 0.9681075811386108, -0.09971234947443008)","[1, 1]",-1.7567442060016412,"(-0.8774537444114685, 0.29341021180152893, 0.01644296385347843, -0.011324548721313478, -0.007112711668014526, 0.0002220905385911465, 1.0681076049804688, -0.09273102879524231)",False
59,"(-0.8774537444114685, 0.29341021180152893, 0.01644296385347843, -0.011324548721313478, -0.007112711668014526, 0.0002220905385911465, 1.0681076049804688, -0.09273102879524231)","[-1, -1]",-1.5560805541594398,"(-0.9615238904953003, 0.21396282315254211, 0.01820080541074276, -0.00840701460838318, -0.007944738864898682, 0.00017578415572643282, 0.9681075811386108, -0.09971234947443008)",False
